City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Kavaratti,IN,10.5669,72.642,80.24,75,24,11.01,few clouds
212,Bahia Blanca,AR,-38.7196,-62.2724,70.29,91,38,12.08,scattered clouds
213,Ayan,RU,56.45,138.1667,-31.32,74,1,8.25,clear sky
214,Cabo San Lucas,MX,22.8909,-109.9124,73.71,60,20,12.66,few clouds
215,Mogadishu,SO,2.0371,45.3438,76.71,82,92,19.89,overcast clouds
216,Woodward,US,36.4337,-99.3904,49.23,57,0,14.97,clear sky
217,Hilo,US,19.7297,-155.09,82.13,80,75,12.66,broken clouds
218,Berlevag,NO,70.8578,29.0864,28.35,74,99,10.36,overcast clouds
219,Polkowice,PL,51.5039,16.0726,33.12,97,100,7.16,overcast clouds
220,Palana,RU,59.1167,159.9667,-3.05,95,99,11.48,overcast clouds
221,Witu,KE,-2.3889,40.4382,72.0,92,99,5.17,overcast clouds
222,Nago,JP,26.5881,127.9761,58.05,62,68,9.22,broken clouds
223,Belen,TR,36.4891,36.2233,39.34,100,100,2.3,fog
224,Dwarka,IN,22.2394,68.9678,67.21,52,64,8.9,broken clouds
225,Canita,PA,9.2097,-78.8811,74.07,89,33,5.35,scattered clouds
226,Umm Lajj,SA,25.0213,37.2685,70.81,40,35,6.29,scattered clouds
227,Boden,SE,65.8252,21.6886,32.0,91,83,9.75,broken clouds
228,Mackenzie,CA,55.2999,-123.1698,35.82,87,100,11.5,light rain
229,Chardara,KZ,41.2547,67.9692,11.68,90,28,4.18,scattered clouds
230,Hualmay,PE,-11.0964,-77.6139,71.4,76,76,8.95,broken clouds
231,Port Hedland,AU,-20.3167,118.5667,78.85,89,100,6.91,overcast clouds
232,Fort Nelson,CA,58.8053,-122.7002,10.94,90,75,2.3,broken clouds
233,Mount Gambier,AU,-37.8333,140.7667,61.36,46,58,12.06,broken clouds
234,Beringovskiy,RU,63.05,179.3167,-21.91,92,29,5.14,scattered clouds
235,Jaru,BR,-10.4389,-62.4664,70.23,99,100,1.68,light rain
236,Tamandare,BR,-8.7597,-35.1047,76.96,85,37,7.94,scattered clouds
237,Mana,GF,5.6592,-53.7767,74.97,87,46,7.54,scattered clouds
238,Akdagmadeni,TR,39.6603,35.8836,36.36,66,10,4.05,clear sky
239,Harlingen,US,26.1906,-97.6961,84.29,72,40,17.27,scattered clouds
240,Poum,NC,-20.2333,164.0167,80.01,70,70,13.04,broken clouds
241,Gao,ML,16.6362,1.637,66.22,14,56,10.51,broken clouds
242,Tongren,CN,27.7172,109.1853,44.13,55,100,0.49,overcast clouds
243,Kavieng,PG,-2.5744,150.7967,84.36,70,80,9.82,broken clouds
244,Egvekinot,RU,66.3167,-179.1667,-20.22,93,100,2.15,overcast clouds
245,Omboue,GA,-1.5746,9.2618,78.08,83,100,5.03,overcast clouds
246,Tilichiki,RU,60.4667,166.1,-8.72,87,100,9.46,overcast clouds
247,Aykhal,RU,66.0,111.5,-47.49,100,80,2.77,broken clouds
248,Mount Pleasant,US,32.7941,-79.8626,68.09,92,0,1.99,clear sky
249,Charters Towers,AU,-20.1,146.2667,80.87,57,1,10.63,clear sky
250,Qesarya,IL,32.5189,34.9046,54.36,69,0,7.83,clear sky
251,Kushmurun,KZ,52.4503,64.6311,-9.2,78,4,3.06,clear sky
252,Saint-Francois,FR,46.4154,3.9054,27.84,93,75,3.44,snow
253,Salalah,OM,17.0151,54.0924,73.49,73,0,2.3,clear sky
254,Arona,ES,28.0996,-16.681,58.82,68,75,14.97,broken clouds
255,Usogorsk,RU,63.4106,48.6872,24.1,96,99,7.14,overcast clouds
256,Flic En Flac,MU,-20.2742,57.3631,78.53,86,100,13.78,light rain
257,Tres Arroyos,AR,-38.3739,-60.2798,76.08,52,77,12.39,broken clouds
258,Khandyga,RU,62.6667,135.6,-59.87,99,100,1.59,overcast clouds
259,Beipiao,CN,41.7919,120.7792,14.76,58,7,3.6,clear sky
260,Rafaela,AR,-31.2503,-61.4867,82.98,45,37,9.04,scattered clouds
261,Nouadhibou,MR,20.931,-17.0347,64.38,68,74,17.27,broken clouds
262,Kiblawan,PH,6.6142,125.2367,78.46,86,93,2.73,overcast clouds
263,Beisfjord,NO,68.3751,17.5988,28.45,75,100,8.39,overcast clouds
264,Hamilton,US,39.1834,-84.5333,44.89,85,100,12.66,light rain
265,Sistranda,NO,63.7256,8.834,31.96,90,100,19.37,light snow
266,Eufaula,US,31.8913,-85.1455,71.64,86,75,4.61,broken clouds
267,Aklavik,CA,68.2191,-135.0107,-3.69,99,100,4.23,light snow
268,Avera,US,33.194,-82.5271,65.37,87,99,5.06,overcast clouds
269,Iqaluit,CA,63.7506,-68.5145,-16.31,68,0,11.5,clear sky
270,Dzaoudzi,YT,-12.7887,45.2699,82.29,74,0,10.36,clear sky
271,Atambua,ID,-9.1061,124.8925,77.9,79,100,1.92,overcast clouds
272,Blagoyevo,RU,63.3667,47.9167,25.75,96,100,7.58,overcast clouds
273,Sinjar,IQ,36.3209,41.8754,46.85,67,2,5.28,clear sky
