City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
142,Belmonte,BR,76.6,scattered clouds,-15.8631,-38.8828,No hotel found
143,Maldonado,UY,74.59,overcast clouds,-34.6667,-54.9167,No hotel found
147,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,No hotel found
150,Geraldton,AU,81.01,scattered clouds,-28.7667,114.6,No hotel found
151,Marsh Harbour,BS,73.0,scattered clouds,26.5412,-77.0636,No hotel found
152,Tabou,CI,79.45,broken clouds,4.423,-7.3528,No hotel found
157,Caravelas,BR,75.34,clear sky,-17.7125,-39.2481,No hotel found
160,Kununurra,AU,80.58,broken clouds,-15.7667,128.7333,No hotel found
162,Angoche,MZ,77.41,overcast clouds,-16.2325,39.9086,No hotel found
164,The Valley,AI,77.14,scattered clouds,18.217,-63.0578,No hotel found
169,Puerto Escondido,MX,83.23,scattered clouds,15.85,-97.0667,No hotel found
171,Alofi,NU,85.89,light rain,-19.0595,-169.9187,No hotel found
180,Berbera,SO,73.63,scattered clouds,10.4396,45.0143,No hotel found
183,Chuy,UY,70.43,broken clouds,-33.6971,-53.4616,No hotel found
184,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,No hotel found
186,Bela Vista,BR,74.62,scattered clouds,-22.1089,-56.5211,No hotel found
187,Urubicha,BO,76.01,light rain,-15.3833,-62.95,No hotel found
188,Rantepao,ID,72.36,broken clouds,-2.9701,119.8978,No hotel found
192,Kudahuvadhoo,MV,80.11,scattered clouds,2.6708,72.8944,No hotel found
195,Riacho De Santana,BR,70.93,scattered clouds,-13.6092,-42.9389,No hotel found
196,Pringsewu,ID,73.92,overcast clouds,-5.3582,104.9744,No hotel found
202,Ambilobe,MG,73.31,moderate rain,-13.2,49.05,No hotel found
206,Sibolga,ID,73.89,overcast clouds,1.7427,98.7792,No hotel found
210,Kruisfontein,ZA,76.89,overcast clouds,-34.0033,24.7314,No hotel found
211,Kavaratti,IN,80.24,few clouds,10.5669,72.642,No hotel found
212,Bahia Blanca,AR,70.29,scattered clouds,-38.7196,-62.2724,No hotel found
214,Cabo San Lucas,MX,73.71,few clouds,22.8909,-109.9124,No hotel found
215,Mogadishu,SO,76.71,overcast clouds,2.0371,45.3438,No hotel found
217,Hilo,US,82.13,broken clouds,19.7297,-155.09,No hotel found
221,Witu,KE,72.0,overcast clouds,-2.3889,40.4382,No hotel found
225,Canita,PA,74.07,scattered clouds,9.2097,-78.8811,No hotel found
226,Umm Lajj,SA,70.81,scattered clouds,25.0213,37.2685,No hotel found
230,Hualmay,PE,71.4,broken clouds,-11.0964,-77.6139,No hotel found
231,Port Hedland,AU,78.85,overcast clouds,-20.3167,118.5667,No hotel found
235,Jaru,BR,70.23,light rain,-10.4389,-62.4664,No hotel found
236,Tamandare,BR,76.96,scattered clouds,-8.7597,-35.1047,No hotel found
237,Mana,GF,74.97,scattered clouds,5.6592,-53.7767,No hotel found
239,Harlingen,US,84.29,scattered clouds,26.1906,-97.6961,No hotel found
240,Poum,NC,80.01,broken clouds,-20.2333,164.0167,No hotel found
243,Kavieng,PG,84.36,broken clouds,-2.5744,150.7967,No hotel found
245,Omboue,GA,78.08,overcast clouds,-1.5746,9.2618,No hotel found
249,Charters Towers,AU,80.87,clear sky,-20.1,146.2667,No hotel found
253,Salalah,OM,73.49,clear sky,17.0151,54.0924,No hotel found
256,Flic En Flac,MU,78.53,light rain,-20.2742,57.3631,No hotel found
257,Tres Arroyos,AR,76.08,broken clouds,-38.3739,-60.2798,No hotel found
260,Rafaela,AR,82.98,scattered clouds,-31.2503,-61.4867,No hotel found
262,Kiblawan,PH,78.46,overcast clouds,6.6142,125.2367,No hotel found
266,Eufaula,US,71.64,broken clouds,31.8913,-85.1455,No hotel found
